DEVICE AND PIN MEMORY	: cuda:0 True
NUM TEST CELLS:  15
LOSS KWARGS {'loss_type': 'am', 'exp_weight': 0.0, 'strainenergy_regularization': 0.0, 'exp_schedule': {'type': 'linear', 'width': 310, 'e_crit': 30}, 'reg_schedule': {'type': 'linear', 'width': 310, 'e_crit': 30}, 'loss_kwargs': {'max_force': 8.0}}
Epoch 0:	 Time: 216.29 	(per epoch: 216.29)
Epoch 48:	 Time: 9321.83 	(per epoch: 190.24)
Epoch 49:	 Time: 9559.10 	(per epoch: 191.18)
Epoch 50:	 Time: 9804.23 	(per epoch: 192.24)
Epoch 51:	 Time: 10042.46 	(per epoch: 193.12)
Epoch 52:	 Time: 10297.62 	(per epoch: 194.29)
Epoch 53:	 Time: 10535.64 	(per epoch: 195.10)
Epoch 54:	 Time: 10794.56 	(per epoch: 196.26)
Epoch 55:	 Time: 11054.36 	(per epoch: 197.40)
Epoch 56:	 Time: 11302.70 	(per epoch: 198.29)
Epoch 57:	 Time: 11526.12 	(per epoch: 198.73)
Epoch 58:	 Time: 11752.10 	(per epoch: 199.19)
Epoch 59:	 Time: 11946.80 	(per epoch: 199.11)
Epoch 60:	 Time: 12151.80 	(per epoch: 199.21)
SAVING MODEL
Epoch 61:	 Time: 12341.15 	(per epoch: 199.05)
Epoch 62:	 Time: 12530.10 	(per epoch: 198.89)
Epoch 63:	 Time: 12710.82 	(per epoch: 198.61)
Epoch 64:	 Time: 12893.38 	(per epoch: 198.36)
Epoch 65:	 Time: 13072.34 	(per epoch: 198.07)
Epoch 66:	 Time: 13250.29 	(per epoch: 197.77)
Epoch 67:	 Time: 13427.31 	(per epoch: 197.46)
Epoch 68:	 Time: 13606.37 	(per epoch: 197.19)
Epoch 69:	 Time: 13777.97 	(per epoch: 196.83)
Epoch 70:	 Time: 13955.62 	(per epoch: 196.56)
Epoch 71:	 Time: 14133.68 	(per epoch: 196.30)
Epoch 72:	 Time: 14314.21 	(per epoch: 196.09)
Epoch 73:	 Time: 14490.59 	(per epoch: 195.82)
Epoch 74:	 Time: 14671.23 	(per epoch: 195.62)
Epoch 75:	 Time: 14843.24 	(per epoch: 195.31)
Epoch 76:	 Time: 15021.95 	(per epoch: 195.09)
Epoch 77:	 Time: 15196.46 	(per epoch: 194.83)
Epoch 78:	 Time: 15375.79 	(per epoch: 194.63)
Epoch 79:	 Time: 15548.53 	(per epoch: 194.36)
Epoch 80:	 Time: 15727.26 	(per epoch: 194.16)
SAVING MODEL
Epoch 81:	 Time: 15896.54 	(per epoch: 193.86)
Epoch 82:	 Time: 16072.40 	(per epoch: 193.64)
Epoch 83:	 Time: 16248.94 	(per epoch: 193.44)
Epoch 84:	 Time: 16427.50 	(per epoch: 193.26)
Epoch 85:	 Time: 16600.90 	(per epoch: 193.03)
Epoch 86:	 Time: 16774.57 	(per epoch: 192.81)
Epoch 87:	 Time: 16946.25 	(per epoch: 192.57)
Epoch 88:	 Time: 17118.62 	(per epoch: 192.34)
LOSS IS NAN
{'base_loss': tensor(nan, device='cuda:0', grad_fn=<AddBackward0>), 'mse_loss': tensor(0.0500, device='cuda:0'), 'mag_loss': tensor(0.0500, device='cuda:0'), 'ang_loss': tensor(nan, device='cuda:0'), 'mag_loss_weighted': tensor(0.0500, device='cuda:0'), 'ang_loss_weighted': tensor(nan, device='cuda:0')} {'strainenergy_loss': tensor(7.4052e-08, device='cuda:0', grad_fn=<PowBackward0>)}
Epoch 89:	 Time: 17292.60 	(per epoch: 192.14)
Epoch 90:	 Time: 17470.91 	(per epoch: 191.99)
Epoch 91:	 Time: 17644.19 	(per epoch: 191.78)
Epoch 92:	 Time: 17821.40 	(per epoch: 191.63)
Epoch 93:	 Time: 17994.94 	(per epoch: 191.44)
Epoch 94:	 Time: 18172.53 	(per epoch: 191.29)
Epoch 95:	 Time: 18346.69 	(per epoch: 191.11)
Epoch 96:	 Time: 18520.85 	(per epoch: 190.94)
Epoch 97:	 Time: 18692.70 	(per epoch: 190.74)
Epoch 98:	 Time: 18863.72 	(per epoch: 190.54)
Epoch 99:	 Time: 19038.96 	(per epoch: 190.39)
SAVING MODEL
